time_iso8601,stars_cumulative
2024-01-12 00:00:00+00:00,5
2024-01-13 00:00:00+00:00,6
2024-01-15 00:00:00+00:00,7
2024-01-23 00:00:00+00:00,8
2024-01-29 00:00:00+00:00,10
2024-06-11 00:00:00+00:00,21
2024-06-12 00:00:00+00:00,30
2024-06-13 00:00:00+00:00,32
2024-06-14 00:00:00+00:00,33
2024-06-20 00:00:00+00:00,34
2024-06-22 00:00:00+00:00,35
2024-06-23 00:00:00+00:00,36
2024-06-26 00:00:00+00:00,37
2024-06-29 00:00:00+00:00,38
2024-07-07 00:00:00+00:00,39
2024-07-20 00:00:00+00:00,40
2024-07-29 00:00:00+00:00,53
2024-07-30 00:00:00+00:00,56
2024-07-31 00:00:00+00:00,59
2024-08-01 00:00:00+00:00,62
2024-08-02 00:00:00+00:00,63
2024-08-06 00:00:00+00:00,64
2024-08-07 00:00:00+00:00,65
2024-09-04 00:00:00+00:00,66
2024-09-11 00:00:00+00:00,67
2024-09-17 00:00:00+00:00,68
2024-09-19 00:00:00+00:00,69
2024-09-27 00:00:00+00:00,70
2024-10-19 00:00:00+00:00,71
2024-10-28 00:00:00+00:00,72
2024-11-21 00:00:00+00:00,73
2025-01-16 00:00:00+00:00,78
2025-01-17 00:00:00+00:00,82
2025-01-18 00:00:00+00:00,83
2025-01-19 00:00:00+00:00,84
2025-01-22 00:00:00+00:00,101
2025-01-23 00:00:00+00:00,115
2025-01-24 00:00:00+00:00,118
2025-01-27 00:00:00+00:00,119
2025-01-28 00:00:00+00:00,123
2025-02-11 00:00:00+00:00,124
2025-02-18 00:00:00+00:00,125
2025-02-20 00:00:00+00:00,126
2025-02-21 00:00:00+00:00,127
2025-02-24 00:00:00+00:00,128
2025-03-05 00:00:00+00:00,129
2025-03-07 00:00:00+00:00,131
2025-03-18 00:00:00+00:00,132
2025-03-24 00:00:00+00:00,134
2025-04-16 00:00:00+00:00,135
2025-04-19 00:00:00+00:00,136
2025-04-21 00:00:00+00:00,137
2025-04-24 00:00:00+00:00,138
2025-05-09 00:00:00+00:00,139
2025-05-17 00:00:00+00:00,140
2025-05-27 00:00:00+00:00,141
2025-06-30 00:00:00+00:00,142
2025-07-02 00:00:00+00:00,143
2025-07-04 00:00:00+00:00,144
2025-07-07 00:00:00+00:00,145
2025-07-12 00:00:00+00:00,146
2025-08-06 00:00:00+00:00,147
2025-08-10 00:00:00+00:00,148
2025-08-11 00:00:00+00:00,149
2025-08-14 00:00:00+00:00,150
2025-08-27 00:00:00+00:00,151
2025-08-28 00:00:00+00:00,152
2025-09-24 00:00:00+00:00,153
2025-10-04 00:00:00+00:00,154
2025-10-20 00:00:00+00:00,155
2025-11-04 00:00:00+00:00,156
