time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-30 00:00:00+00:00,3,3,22.0,20.0
2025-10-31 00:00:00+00:00,8,7,2.0,1.0
2025-11-01 00:00:00+00:00,21,16,2.0,1.0
2025-11-02 00:00:00+00:00,9,9,21.0,6.0
2025-11-03 00:00:00+00:00,7,7,,
2025-11-04 00:00:00+00:00,6,5,4.0,2.0
2025-11-05 00:00:00+00:00,12,12,2.0,2.0
2025-11-06 00:00:00+00:00,28,13,3.0,3.0
2025-11-07 00:00:00+00:00,18,13,17.0,14.0
2025-11-08 00:00:00+00:00,7,5,7.0,6.0
2025-11-09 00:00:00+00:00,6,4,1.0,1.0
2025-11-10 00:00:00+00:00,26,17,9.0,4.0
2025-11-11 00:00:00+00:00,95,40,33.0,10.0
2025-11-12 00:00:00+00:00,5,4,2.0,1.0
